timestamp,timestamp_sample,device_id,pressure,temperature,error_count
9124936961,9124936712,6845961,98913.734,47.75933,0
9125015089,9125014844,6845961,98913.92,47.75817,0
9125124502,9125124254,6845961,98913.5,47.754684,0
9125265069,9125264821,6845961,98913.8,47.74655,0
9125311969,9125311719,6845961,98913.7,47.755844,0
9125452601,9125452352,6845961,98913.8,47.74655,0
9125530787,9125530528,6845961,98914.414,47.748875,0
9125640124,9125639873,6845961,98914.07,47.7361,0
9125718206,9125717955,6845961,98914.51,47.739582,0
9125827590,9125827341,6845961,98914.69,47.73842,0
9125905762,9125905508,6845961,98915.41,47.731453,0
9126015118,9126014869,6845961,98917.09,47.725643,0
9126108858,9126108609,6845961,98917.08,47.72448,0
9126202596,9126202345,6845961,98916.36,47.729126,0
9126343211,9126342963,6845961,98914.4,47.729126,0
9126452749,9126452503,6845961,98914.484,47.73726,0
9126530771,9126530516,6845961,98914.66,47.734936,0
9126640129,9126639879,6845961,98914.875,47.73726,0
9126718212,9126717963,6845961,98914.266,47.734936,0
9126827591,9126827343,6845961,98914.53,47.741905,0
9126921337,9126921085,6845961,98914.42,47.75004,0
9127015092,9127014844,6845961,98914.19,47.74655,0
9127108884,9127108635,6845961,98914.52,47.740746,0
9127218255,9127217972,6845961,98914.27,47.7361,0
9127343204,9127342954,6845961,98914.16,47.74423,0
9127436997,9127436713,6845961,98913.8,47.74655,0
9127530758,9127530509,6845961,98914.125,47.740746,0
9127624472,9127624221,6845961,98914.18,47.74539,0
9127733911,9127733661,6845961,98913.58,47.74423,0
9127811966,9127811714,6845961,98914.016,47.748875,0
9127921333,9127921084,6845961,98914.24,47.751198,0
9128046354,9128046094,6845961,98914.12,47.75817,0
9128108921,9128108672,6845961,98913.96,47.761654,0
9128249478,9128249215,6845961,98913.695,47.754684,0
9128343211,9128342961,6845961,98913.96,47.761654,0
9128437138,9128436883,6845961,98913.36,47.76049,0
9128546403,9128546140,6845961,98913.53,47.75817,0
9128624480,9128624229,6845961,98913.61,47.765137,0
9128733837,9128733596,6845961,98913.586,47.762817,0
