timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
9118650606,-0.012649385,-0.019335583,0.0002767112
9118670562,-0.012649385,-0.021440808,0.0002784793
9118691125,-0.012649385,-0.021440808,0.0002784793
9118710054,-0.012649385,-0.021440808,0.0002784793
9118731150,-0.012649385,-0.021440808,0.0002784793
9118749969,-0.012649385,-0.022621408,0.0002784793
9118769881,-0.012649385,-0.023929818,0.0002784793
9118790764,-0.012649385,-0.023929818,0.0002784793
9118809644,-0.012649385,-0.023929818,0.0002784793
9118830718,-0.012649385,-0.023929818,0.0002784793
9118850631,-0.012649385,-0.023929818,0.0002784793
9118871456,-0.012649385,-0.023929818,0.0002784793
9118890559,-0.012649385,-0.023929818,0.0002784793
9118909931,-0.012649385,-0.023929818,0.0002784793
9118930867,-0.012649385,-0.023929818,0.0002784793
9118950172,-0.012649385,-0.023929818,0.0002784793
9118970837,-0.012649385,-0.023929818,0.0002784793
9118990406,-0.012649385,-0.025297804,0.0002784793
9119011336,-0.012649385,-0.027819248,0.0002784793
9119030266,-0.012649385,-0.029898593,0.0002784793
9119052266,-0.012649385,-0.03147865,0.00034609012
9119070814,-0.011207681,-0.031762842,0.00071199366
9119090757,-0.011107422,-0.030603418,0.0013103206
9119111650,-0.011107422,-0.028438183,0.001839703
9119130463,-0.011107422,-0.026400847,0.0020180445
9119151356,-0.012646676,-0.024250777,0.0023574224
9119170408,-0.012646676,-0.023002429,0.00241489
9119192344,-0.012646676,-0.020288775,0.0025263582
9119211283,-0.012646676,-0.017496275,0.0026270328
9119232146,-0.013383232,-0.015954599,0.0031192135
9119251021,-0.015412124,-0.014517852,0.0035116735
9119270906,-0.015412124,-0.013251959,0.0035116735
9119291458,-0.015412124,-0.011938263,0.0037770665
9119311256,-0.015412124,-0.010674134,0.0044005294
9119331247,-0.016820313,-0.009914113,0.005119991
9119351170,-0.017808119,-0.009268112,0.0058837477
9119372127,-0.01840838,-0.008887955,0.006403019
9119391143,-0.01869029,-0.008640418,0.006403019
