timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
9122988474,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9123088453,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1138.0,1040.0,1062.0,1000.0,1000.0,1000.0,1000.0
9123188453,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1044.0,1040.0,1154.0,1000.0,1000.0,1000.0,1000.0
9123288511,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1065.0,1040.0,1136.0,1000.0,1000.0,1000.0,1000.0
9123388450,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1143.0,1040.0,1057.0,1000.0,1000.0,1000.0,1000.0
9123488464,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1139.0,1040.0,1061.0,1000.0,1000.0,1000.0,1000.0
9123588447,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1086.0,1157.0,1116.0,1000.0,1000.0,1000.0,1000.0
9123688558,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1118.0,1143.0,1047.0,1092.0,1000.0,1000.0,1000.0,1000.0
9123788455,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1136.0,1157.0,1064.0,1000.0,1000.0,1000.0,1000.0
9123888477,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1126.0,1116.0,1080.0,1082.0,1000.0,1000.0,1000.0,1000.0
9123988530,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1102.0,1074.0,1098.0,1130.0,1000.0,1000.0,1000.0,1000.0
9124088489,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1040.0,1040.0,1157.0,1000.0,1000.0,1000.0,1000.0
9124188464,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1146.0,1104.0,1057.0,1094.0,1000.0,1000.0,1000.0,1000.0
9124288458,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1070.0,1040.0,1131.0,1000.0,1000.0,1000.0,1000.0
9124388480,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1160.0,1074.0,1043.0,1122.0,1000.0,1000.0,1000.0,1000.0
9124488451,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1114.0,1121.0,1090.0,1078.0,1000.0,1000.0,1000.0,1000.0
9124588471,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1142.0,1128.0,1090.0,1000.0,1000.0,1000.0,1000.0
9124688450,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1139.0,1157.0,1061.0,1000.0,1000.0,1000.0,1000.0
9124788449,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9124888452,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1041.0,1157.0,1158.0,1040.0,1000.0,1000.0,1000.0,1000.0
9124988454,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9125088461,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1067.0,1043.0,1159.0,1129.0,1000.0,1000.0,1000.0,1000.0
9125188463,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1151.0,1042.0,1063.0,1142.0,1000.0,1000.0,1000.0,1000.0
9125288481,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1058.0,1040.0,1142.0,1000.0,1000.0,1000.0,1000.0
9125388527,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1040.0,1040.0,1157.0,1000.0,1000.0,1000.0,1000.0
9125488451,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1092.0,1116.0,1040.0,1152.0,1000.0,1000.0,1000.0,1000.0
