timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
9130321417,9130317002,-1.5496981,-0.8188048,-9.78421
9130327685,9130325625,-1.5199764,-0.785109,-9.775638
9130334111,9130333384,-1.5295745,-0.76572615,-9.650263
9130342530,9130341609,-1.6136515,-0.7751968,-9.434441
9130351341,9130348418,-1.7017232,-0.80058944,-9.277131
9130361733,9130356217,-1.6792481,-0.78203243,-9.282931
9130365888,9130365159,-1.5624475,-0.70522195,-9.439002
9130373297,9130372568,-1.4583467,-0.63470745,-9.69799
9130381674,9130379629,-1.4145719,-0.61725736,-9.975824
9130392104,9130387566,-1.4051063,-0.60575116,-10.188118
9130397254,9130396128,-1.4042916,-0.5715959,-10.328227
9130404723,9130403938,-1.4271524,-0.5899394,-10.409978
9130412088,9130411337,-1.4938862,-0.66185933,-10.395351
9130421486,9130418933,-1.576386,-0.71748304,-10.290436
9130431945,9130426610,-1.6115685,-0.7762529,-10.142987
9130437237,9130435967,-1.5809262,-0.8248379,-10.011185
9130443640,9130442920,-1.4864187,-0.80742294,-9.975557
9130452084,9130451127,-1.2903602,-0.6911797,-10.060796
9130461441,9130458518,-0.9712622,-0.4540907,-10.256391
9130471917,9130465690,-0.560307,-0.12640908,-10.567529
9130475101,9130474336,-0.16602454,0.27007848,-10.90435
9130482519,9130481736,-0.014855323,0.6749536,-11.073912
9130501179,9130496243,-0.22321117,0.79751825,-10.890898
9130504445,9130497474,-0.6561215,0.3542908,-10.393199
9130507700,9130506219,-1.2052156,-0.36662418,-9.902272
9130514398,9130513634,-1.6843064,-0.9102464,-9.582089
9130523147,9130522155,-1.8250736,-1.1838214,-9.420357
9130532755,9130529805,-1.6628633,-1.2258549,-9.462905
9130542330,9130536067,-1.3707063,-1.1349926,-9.668341
9130545527,9130544742,-1.050851,-0.9608346,-9.9391575
9130553206,9130552474,-0.7696308,-0.76368994,-10.189966
9130561659,9130559591,-0.5401349,-0.6616484,-10.324877
9130573126,9130567807,-0.38178185,-0.562619,-10.327757
9130578348,9130577218,-0.28729856,-0.41182047,-10.22613
9130584717,9130583790,-0.21739428,-0.3787108,-10.042927
9130592157,9130591411,-0.16049294,-0.46356156,-9.875167
9130601531,9130598811,-0.045751452,-0.46116462,-9.786282
9130612243,9130606427,0.17566592,-0.2853265,-9.746422
9130616423,9130615665,0.4103553,-0.078819424,-9.726029
9130623760,9130622842,0.5600559,-0.023317665,-9.699887
9130632192,9130629946,0.6040386,-0.08623684,-9.640345
9130643654,9130638736,0.57071626,-0.16131085,-9.55582
9130647803,9130645778,0.5304159,-0.2444014,-9.483551
9130655282,9130654536,0.5019404,-0.3272433,-9.4265
9130662679,9130661930,0.462915,-0.40935373,-9.382591
9130681727,9130676573,0.4622023,-0.47647706,-9.36105
9130684904,9130677349,0.5378752,-0.47118217,-9.365599
9130689890,9130686257,0.6542418,-0.43731788,-9.386122
9130694105,9130693387,0.7425547,-0.43400568,-9.3873205
9130702647,9130701679,0.7556708,-0.44727686,-9.346711
9130713135,9130708416,0.76342213,-0.4981228,-9.282272
9130720430,9130715908,0.8319,-0.54444814,-9.23977
9130725712,9130724965,0.9300959,-0.5081938,-9.265961
9130733125,9130732413,1.0511253,-0.4187292,-9.37674
9130742528,9130739611,1.1709927,-0.3352547,-9.554174
9130751916,9130747189,1.2575493,-0.2897024,-9.747625
9130758120,9130756090,1.3323326,-0.24153775,-9.863389
9130764463,9130763745,1.3842306,-0.13091001,-9.837347
9130773135,9130772190,1.3787051,-0.039323166,-9.676558
9130782570,9130779844,1.3197613,-0.080153406,-9.47872
9130791962,9130786347,1.2566805,-0.15761478,-9.397588
9130796222,9130795420,1.3068289,-0.13975036,-9.4797125
9130803532,9130802813,1.4787247,-0.053910665,-9.643636
9130811960,9130809722,1.6208508,0.051446326,-9.789885
9130823380,9130818263,1.6534175,0.1207322,-9.84986
9130828559,9130826538,1.5984344,0.120205045,-9.831979
9130834922,9130834208,1.51504,0.05254706,-9.781662
9130843352,9130842426,1.4222348,-0.07593279,-9.722164
9130851706,9130848990,1.3046092,-0.21574697,-9.703194
9130862205,9130856690,1.2049034,-0.3394464,-9.748038
9130866395,9130865644,1.2031341,-0.3948429,-9.835309
9130873803,9130873062,1.3248259,-0.3180027,-9.919601
9130882145,9130880125,1.5248574,-0.15776479,-9.965869
9130892610,9130888093,1.7701249,0.0056917258,-9.997047
9130898796,9130897672,2.0345635,0.18271035,-9.9844475
9130905159,9130904244,2.2668679,0.40236568,-9.870605
9130913557,9130912643,2.3738537,0.5910546,-9.679287
9130921926,9130919407,2.292619,0.62205446,-9.472281
9130932344,9130927228,2.0800524,0.43999738,-9.297675
9130936488,9130935773,1.8407817,0.1428671,-9.200908
9130944283,9130943545,1.670382,-0.09819488,-9.188231
9130952740,9130950437,1.5971713,-0.22702275,-9.222442
9130963094,9130958347,1.6220324,-0.26612553,-9.269867
9130968243,9130967127,1.7358655,-0.2215366,-9.291908
9130975976,9130975258,1.8746468,-0.124302685,-9.2858095
9130983371,9130982653,1.9936571,-0.02765121,-9.290098
9130992753,9130990039,2.0833716,0.05186633,-9.311895
9131003172,9130997562,2.1864824,0.13040209,-9.352522
9131008456,9131007313,2.332222,0.2203267,-9.410921
9131015119,9131014175,2.4335208,0.30356082,-9.45153
9131023848,9131022005,2.3815577,0.29854065,-9.431147
9131032245,9131028798,2.202695,0.18514034,-9.335619
9131042731,9131036673,2.052762,0.07918656,-9.186533
9131045819,9131045092,2.0479913,0.069366924,-9.002592
9131053282,9131052557,2.1219099,0.120622255,-8.894303
9131062675,9131059927,2.16127,0.14334083,-8.979067
9131073051,9131067930,2.147667,0.11706561,-9.176277
9131078214,9131076396,2.0975575,0.06802192,-9.328941
9131085631,9131084901,2.0371852,-0.004185831,-9.386027
9131093038,9131092289,1.974607,-0.08289452,-9.395744
9131102455,9131099696,1.9206125,-0.15138522,-9.395195
9131112970,9131106946,1.8753664,-0.21013534,-9.392406
9131116122,9131115608,1.8291836,-0.25575054,-9.3931
9131124582,9131123855,1.7948323,-0.27343768,-9.39369
9131132955,9131130443,1.7765883,-0.24670516,-9.384609
9131143472,9131138151,1.772838,-0.20416215,-9.327902
9131148696,9131147533,1.7271641,-0.18130979,-9.222711
9131155089,9131154317,1.6031744,-0.17832202,-9.145917
9131163445,9131162524,1.5020905,-0.14778084,-9.153135
9131172833,9131170113,1.5083424,-0.07490547,-9.265144
9131183211,9131177394,1.5610936,-0.04828601,-9.436034
9131186370,9131185649,1.5399946,-0.07067545,-9.590122
9131194243,9131193493,1.424614,-0.09922595,-9.721378
9131202858,9131200809,1.2934746,-0.16201217,-9.851237
9131213301,9131208786,1.2028582,-0.22943437,-9.977861
9131219473,9131218353,1.1493562,-0.26310468,-10.04496
9131225839,9131224914,1.0813832,-0.2626008,-10.021511
9131234170,9131233427,0.9834664,-0.21469407,-9.965111
9131243028,9131240289,0.9249271,-0.16584906,-9.920775
9131253572,9131247760,0.95485795,-0.17421457,-9.8940325
9131257724,9131256608,1.0043215,-0.177607,-9.897897
9131265112,9131264385,1.0048839,-0.12120478,-9.933302
9131272912,9131271916,0.97426206,-0.06332781,-9.968956
9131283299,9131279054,0.94197047,-0.064045236,-9.958916
9131291616,9131286864,0.9156138,-0.10130412,-9.89994
9131295815,9131295092,0.88260037,-0.1272351,-9.8408165
9131304270,9131303485,0.8475729,-0.13231026,-9.801308
9131321888,9131317467,0.814129,-0.13703308,-9.776753
9131325051,9131318635,0.76634586,-0.18586905,-9.742906
9131328209,9131327068,0.6948688,-0.30233324,-9.674925
9131334878,9131334159,0.58904094,-0.42876732,-9.592529
9131344233,9131342775,0.46884295,-0.49007955,-9.484865
9131352574,9131349855,0.37886176,-0.4981931,-9.3468895
9131362934,9131357318,0.32993007,-0.47441489,-9.237051
9131367120,9131366379,0.30373204,-0.42048007,-9.203981
9131374527,9131373811,0.2878729,-0.3961547,-9.286748
