timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
9155304173,0.0,0.0,0.0,9610,0,-0.10772387,-0.64357704,-9.8125,8748,0,0,0,1
9155314699,0.0,0.0,0.0,10526,0,-0.10772389,-0.64357716,-9.8125,7395,0,0,0,1
9155324988,0.0,0.0,0.0,10289,0,-0.121534556,-0.6573876,-9.824723,15062,0,0,0,1
9155335180,0.0,0.0,0.0,10192,0,-0.12153457,-0.65738773,-9.853516,9570,0,0,0,1
9155344276,0.0,0.0,0.0,9096,0,-0.12153457,-0.65738773,-9.833986,6978,0,0,0,1
9155356802,0.0,0.0,0.0,12526,0,-0.0939132,-0.6573876,-9.832031,14454,0,0,0,1
9155364471,0.0,0.0,0.0,7669,0,-0.10733783,-0.6708123,-9.833929,8729,0,0,0,1
9155374373,0.0,0.0,0.0,9902,0,-0.12153457,-0.6850091,-9.855469,7733,0,0,0,1
9155384913,0.0,0.0,0.0,10540,0,-0.10772389,-0.6711984,-9.833982,7667,0,0,0,1
9155394510,0.0,0.0,0.0,9597,0,-0.10014384,-0.6636183,-9.822193,15168,0,0,0,1
9155404671,0.0,0.0,0.0,10161,0,-0.12153455,-0.6573877,-9.833982,8787,0,0,0,1
9155415472,0.0,0.0,0.0,10801,0,-0.10772387,-0.64357704,-9.812498,8264,0,0,0,1
9155424881,0.0,0.0,0.0,9409,0,-0.09391321,-0.65738773,-9.832029,7384,0,0,0,1
9155434870,0.0,0.0,0.0,9989,0,-0.11502424,-0.6784988,-9.844223,14737,0,0,0,1
9155445003,0.0,0.0,0.0,10133,0,-0.107723884,-0.6711984,-9.814453,8077,0,0,0,1
9155455258,0.0,0.0,0.0,10255,0,-0.107723884,-0.64357704,-9.8125,8672,0,0,0,1
9155464563,0.0,0.0,0.0,9305,0,-0.10772389,-0.64357704,-9.812501,7062,0,0,0,1
9155474961,0.0,0.0,0.0,10398,0,-0.093913205,-0.6573878,-9.8125,15364,0,0,0,1
9155485437,0.0,0.0,0.0,10476,0,-0.09391321,-0.6297662,-9.832031,9059,0,0,0,1
9155494861,0.0,0.0,0.0,9424,0,-0.09391321,-0.62976635,-9.832031,7396,0,0,0,1
