timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
9124358873,9124335148,6845961,202.67427,98914.22,15.0,1.1956577,0,0
9124452660,9124421102,6845961,202.66019,98914.36,15.0,1.1956595,0,0
9124562008,9124530590,6845961,202.68835,98914.04,15.0,1.1956557,0,0
9124640173,9124608616,6845961,202.69305,98913.95,15.0,1.1956546,0,0
9124749749,9124718011,6845961,202.70244,98913.89,15.0,1.1956538,0,0
9124827629,9124803898,6845961,202.67427,98914.19,15.0,1.1956575,0,0
9124937000,9124905468,6845961,202.70714,98913.81,15.0,1.1956528,0,0
9125015127,9124991401,6845961,202.68835,98914.02,15.0,1.1956555,0,0
9125077640,9125077350,6845961,202.67897,98914.14,15.0,1.1956569,0,0
9125155740,9125139853,6845961,202.71182,98913.79,15.0,1.1956526,0,0
9125265108,9125233663,6845961,202.70714,98913.81,15.0,1.1956528,0,0
9125343242,9125327337,6845961,202.7353,98913.5,15.0,1.195649,0,0
9125452656,9125421094,6845961,202.70244,98913.89,15.0,1.1956538,0,0
9125530929,9125514875,6845961,202.67427,98914.22,15.0,1.1956577,0,0
9125593298,9125592959,6845961,202.62732,98914.766,15.0,1.1956644,0,0
9125687007,9125663294,6845961,202.69305,98914.0,15.0,1.1956552,0,0
9125780744,9125749207,6845961,202.61794,98914.89,15.0,1.195666,0,0
9125890143,9125858596,6845961,202.59445,98915.14,15.0,1.1956689,0,0
9125968245,9125936731,6845961,202.51463,98916.08,15.0,1.1956804,0,0
9126077631,9126046105,6845961,202.40665,98917.38,15.0,1.1956961,0,0
9126155752,9126132035,6845961,202.42073,98917.18,15.0,1.1956936,0,0
9126265175,9126233588,6845961,202.50525,98916.16,15.0,1.1956813,0,0
9126343251,9126319532,6845961,202.60854,98914.984,15.0,1.195667,0,0
9126405786,9126405474,6845961,202.61794,98914.86,15.0,1.1956656,0,0
9126483980,9126468099,6845961,202.63202,98914.68,15.0,1.1956633,0,0
9126593300,9126561762,6845961,202.62732,98914.74,15.0,1.1956642,0,0
9126671382,9126655483,6845961,202.61794,98914.875,15.0,1.1956657,0,0
9126780750,9126749211,6845961,202.66019,98914.39,15.0,1.1956599,0,0
9126858873,9126842963,6845961,202.6414,98914.625,15.0,1.1956627,0,0
9126921377,9126921085,6845961,202.65549,98914.42,15.0,1.1956604,0,0
9127015131,9126991399,6845961,202.68365,98914.08,15.0,1.1956561,0,0
9127108947,9127077364,6845961,202.65079,98914.45,15.0,1.1956606,0,0
9127218387,9127186720,6845961,202.67427,98914.18,15.0,1.1956574,0,0
9127296387,9127264876,6845961,202.69774,98913.914,15.0,1.1956542,0,0
9127405766,9127374213,6845961,202.67427,98914.17,15.0,1.1956573,0,0
9127484033,9127460213,6845961,202.69305,98913.984,15.0,1.195655,0,0
9127593251,9127561733,6845961,202.68835,98914.055,15.0,1.1956558,0,0
9127671373,9127647651,6845961,202.70244,98913.89,15.0,1.1956538,0,0
9127733949,9127733661,6845961,202.7259,98913.58,15.0,1.19565,0,0
9127812028,9127796088,6845961,202.68835,98914.016,15.0,1.1956553,0,0
